run_id,alpha-train,alpha-eval,lambda-frames-train,lambda-actions-train,lambda-frames-eval,lambda-actions-eval,eps-train,eps-eval,radius-gw,rho,n-frames,n-clusters,learning-rate,ub-frames,ub-actions,weight-decay,Data,Epochs,MLP,STD-Feats,State,Actions,Experiment,F1 Full,F1 Per,MIOU Full,MIOU Per,MOF Full,MOF Per
37,0.1,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.04,0.15,3,4,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.2971328794956207,0.8265333771705627,0.2387206256389618,0.8316322565078735,0.3523523509502411,0.8453625440597534
38,0.1,0.1,0.01,0.01,0.01,0.01,0.1,1.0,0.04,0.15,3,3,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.3674564063549042,0.7342666387557983,0.2344016134738922,0.6693751811981201,0.39939939975738525,0.8455450534820557
39,0.1,0.1,0.01,0.01,0.01,0.01,0.1,1.0,0.04,0.15,3,4,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.35664331912994385,0.7556664943695068,0.24001401662826538,0.7127698659896851,0.39039039611816406,0.8428710103034973
40,0.1,0.1,0.01,0.01,0.01,0.01,1.0,0.01,0.04,0.15,3,3,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.32306623458862305,0.7199999094009399,0.2270549237728119,0.6257420182228088,0.3713713586330414,0.756516695022583
41,0.1,0.1,0.01,0.01,0.01,0.01,1.0,0.01,0.04,0.15,3,4,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.24832168221473694,0.6561334133148193,0.2187258005142212,0.644162654876709,0.3243243098258972,0.6826885342597961
42,0.1,0.1,0.01,0.01,0.01,0.01,1.0,0.03,0.04,0.15,3,3,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.34285712242126465,0.7388666272163391,0.2379247546195984,0.6426839232444763,0.3843843936920166,0.767686128616333
43,0.1,0.1,0.01,0.01,0.01,0.01,1.0,0.03,0.04,0.15,3,4,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.2479720264673233,0.6584668159484863,0.21717041730880737,0.6543413400650024,0.31731730699539185,0.6918849349021912
44,0.1,0.1,0.01,0.01,0.01,0.01,1.0,0.06,0.04,0.15,3,3,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.3425087332725525,0.7561999559402466,0.2412160187959671,0.6519221663475037,0.38938939571380615,0.7787069082260132
45,0.1,0.1,0.01,0.01,0.01,0.01,1.0,0.06,0.04,0.15,3,4,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.2591608762741089,0.6662001013755798,0.21684950590133667,0.6555436849594116,0.3203203082084656,0.6981484293937683
46,0.1,0.1,0.01,0.01,0.01,0.01,1.0,0.1,0.04,0.15,3,3,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.35331007838249207,0.725066602230072,0.24423649907112122,0.6458650827407837,0.3953953981399536,0.7774985432624817
47,0.1,0.1,0.01,0.01,0.01,0.01,1.0,0.1,0.04,0.15,3,4,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.25524476170539856,0.6630001068115234,0.21712954342365265,0.6617857217788696,0.3223223090171814,0.7036665081977844
48,0.1,0.1,0.01,0.01,0.01,0.01,1.0,1.0,0.04,0.15,3,3,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.34662023186683655,0.6834667325019836,0.23521193861961365,0.6084326505661011,0.38838839530944824,0.7595998644828796
49,0.1,0.1,0.01,0.01,0.01,0.01,1.0,1.0,0.04,0.15,3,4,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.27000001072883606,0.6716001629829407,0.219984769821167,0.6631031632423401,0.33033034205436707,0.714638352394104
50,0.1,0.1,0.01,0.01,0.01,0.05,0.01,0.01,0.04,0.15,3,3,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.30264806747436523,0.6225334405899048,0.2178119570016861,0.5215648412704468,0.36736735701560974,0.687049150466919
51,0.1,0.1,0.01,0.01,0.01,0.05,0.01,0.01,0.04,0.15,3,4,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.24510490894317627,0.5571334362030029,0.20314152538776398,0.5191535353660583,0.3263263404369354,0.6446714997291565
52,0.1,0.1,0.01,0.01,0.01,0.05,0.01,0.03,0.04,0.15,3,3,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.3000696897506714,0.6234001517295837,0.21822601556777954,0.530567467212677,0.36736735701560974,0.6889209151268005
53,0.1,0.1,0.01,0.01,0.01,0.05,0.01,0.03,0.04,0.15,3,4,0.1,FALSE,FALSE,0.001,100,30,11 11 11,TRUE,Simple,FALSE,Standard Env;Random All,0.22440558671951294,0.5577999949455261,0.19873172044754028,0.5236045718193054,0.3133133053779602,0.6338729858398438
